YEAR	COLORADO	NEW MEXICO	ARIZONA	UTAH	MONTANA	WYOMING	
	ANN PROD	ANN PROD	ANN PROD	ANN PROD	ANN PROD	ANN PROD	
							

1800	0	0	0	0	0	0	
1801	0	0	0	0	0	0	
1802	0	0	0	0	0	0	
1803	0	0	0	0	0	0	
1804	0	0	0	0	0	0	
1805	0	0	0	0	0	0	
1806	0	0	0	0	0	0	
1807	0	0	0	0	0	0	
1808	0	0	0	0	0	0	
1809	0	0	0	0	0	0	
1810	0	0	0	0	0	0	
1811	0	0	0	0	0	0	
1812	0	0	0	0	0	0
1813	0	0	0	0	0	0
1814	0	0	0	0	0	0
1815	0	0	0	0	0	0
1816	0	0	0	0	0	0
1817	0	0	0	0	0	0
1818	0	0	0	0	0	0
1819	0	0	0	0	0	0
1820	0	0	0	0	0	0
1821	0	0	0	0	0	0
1822	0	0	0	0	0	0
1823	0	0	0	0	0	0
1824	0	0	0	0	0	0
1825	0	0	0	0	0	0
1826	0	0	0	0	0	0
1827	0	0	0	0	0	0
1828	0	0	0	0	0	0
1829	0	0	0	0	0	0
1830	0	0	0	0	0	0
1831	0	0	0	0	0	0
1832	0	0	0	0	0	0
1833	0	0	0	0	0	0
1834	0	0	0	0	0	0
1835	0	0	0	0	0	0
1836	0	0	0	0	0	0
1837	0	0	0	0	0	0
1838	0	0	0	0	0	0
1839	0	0	0	0	0	0
1840	0	0	0	0	0	0
1841	0	0	0	0	0	0
1842	0	0	0	0	0	0
1843	0	0	0	0	0	0
1844	0	0	0	0	0	0
1845	0	0	0	0	0	0
1846	0	0	0	0	0	0
1847	0	0	0	0	0	0
1848	0	0	0	0	0	0
1849	0	0	0	0	0	0
1850	0	0	0	0	0	0
1851	0	0	0	200	0	0
1852	0	0	0	400	0	0
1853	0	0	0	600	0	0
1854	0	0	0	800	0	0
1855	0	0	0	900	0	0
1856	0	0	0	"1,000"	0	0
1857	0	0	0	"1,100"	0	0
1858	0	0	0	"1,200"	0	0
1859	0	0	0	"1,600"	0	0
1860	0	0	0	"2,000"	0	0
1861	0	0	0	"2,400"	0	0
1862	0	0	0	"2,800"	0	0
1863	0	0	0	"3,200"	0	0
1864	500	0		"3,600"	0	0
1865	"1,200"	0		"4,000"	0	800
1866	"6,400"	0		"4,400"	0	"2,500"
1867	"17,000"	0		"4,800"	0	"5,000"
1868	"10,500"	0		"5,300"	0	"6,925"
1869	"8,000"	0		"5,800"	0	"49,382"
1870	"13,500"	0		"11,400"	0	"105,295"
1871	"15,600"	0		"17,000"	0	"147,328"
1872	"68,540"	0		"22,600"	0	"221,745"
1873	"69,977"	0		"28,100"	0	"259,700"
1874	"87,372"	0		"33,600"	0	"291,200"
1875	"98,838"	0		"39,200"	0	"311,360"
1876	"117,666"	0		"50,400"	0	"334,550"
1877	"160,000"	0		"50,400"	0	"342,853"
1878	"200,630"	0		"67,200"	0	"333,200"
1879	"322,732"	0		"156,000"	0	"400,991"
1880	"462,747"	"5,000"		"252,000"	224	"589,585"
1881	"706,744"	"100,000"		"252,000"	"5,000"	"628,181"
1882	"1,061,479"	"163,992"		"280,000"	"10,000"	"707,764"
1883	"1,229,593"	"211,347"		"280,000"	"19,795"	"779,689"
1884	"1,130,024"	"220,557"		"280,000"	"80,376"	"902,620"
1885	"1,356,062"	"306,202"		"213,120"	"88,340"	"907,328"
1886	"1,368,338"	"271,285"		"200,000"	"49,846"	"829,355"
1887	"1,791,735"	"508,034"		"180,021"	"10,202"	"1,170,318"
1888	"2,185,477"	"626,665"		"258,961"	"41,467"	"1,481,540"
1889	"2,597,181"	"486,943"		"236,651"	"363,301"	"1,388,947"
1890	"3,077,003"	"375,777"		"318,159"	"517,477"	"1,870,366"
1891	"3,512,632"	"462,328"		"371,045"	"541,861"	"2,327,841"
1892	"3,510,830"	"661,330"		"361,013"	"564,648"	"2,503,839"
1893	"4,102,389"	"665,094"		"413,205"	"892,309"	"2,439,311"
1894	"2,831,409"	"597,196"		"431,550"	"927,395"	"2,417,463"
1895	"3,082,982"	"720,654"		"471,836"	"1,504,193"	"2,246,911"
1896	"3,112,400"	"622,626"		"418,627"	"1,543,445"	"2,229,624"
1897	"3,361,703"	"716,981"		"521,560"	"1,647,882"	"2,597,886"
1898	"4,076,347"	"992,288"		"593,709"	"1,479,803"	"2,863,812"
1899	"4,776,224"	"1,050,714"		"786,049"	"1,496,451"	"3,837,392"
1900	"5,244,364"	"1,299,299"		"1,147,027"	"1,661,775"	"4,014,602"
1901	"5,700,015"	"1,086,546"		"1,322,614"	"1,396,081"	"4,485,374"
1902	"7,401,343"	"1,048,763"		"1,574,521"	"1,560,823"	"4,429,491"
1903	"7,423,602"	"1,541,781"		"1,618,409"	"1,488,810"	"4,635,293"
1904	"6,658,355"	"1,452,325"		"1,493,027"	"1,358,919"	"5,178,556"
1905	"8,826,429"	"1,649,933"		"1,332,372"	"1,643,832"	"5,602,021"
1906	"10,111,218"	"1,964,713"		"1,772,551"	"1,829,921"	"6,133,994"
1907	"10,790,236"	"2,628,959"		"1,947,607"	"2,016,857"	"6,252,990"
1908	"9,634,973"	"2,467,937"		"1,846,792"	"1,920,190"	"5,489,902"
1909	"10,716,936"	"2,801,128"		"2,266,899"	"2,553,940"	"6,393,109"
